File Version	v3.02.00
Modified Date	10/15/2014
Modified Time	12:32:25

RoomID	AreaID	RoomName
-1	-2	Equipment Room
1	1	101 GARAGE
2	1	102 KITCHEN
3	1	103 DINING
4	1	104 FAMILY
5	1	105 LIVING
6	3	001 FRONT OF THE HOUSE
7	3	002 BACK OF THE HOUSE
8	1	106 MASTER BED
9	1	107 MASTER BATH
10	2	201 THEATRE
11	2	202 GAME ROOM
12	2	203 GIRL ROOM
13	2	204 BOY ROOM

